market_value,age,height,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M,foot_Both,foot_Left,foot_Right,cluster
165,22,177,50,59,35,38,47,0,0,0,0,6.96,28,1351.72,False,False,False,True,False,False,True,2
140,37,170,55,67,35,33,54,0,0,0,0,6.98,26,1351.72,False,False,False,True,True,False,False,8
210,30,175,44,53,54,55,44,0,0,0,0,7.07,25,1351.72,False,False,False,True,False,False,True,2
195,18,185,34,46,56,66,40,0,0,0,0,6.93,28,1351.72,True,False,False,False,False,False,True,3
130,35,175,39,57,49,59,45,0,0,0,0,6.89,28,1351.72,True,False,False,False,False,False,True,3
170,31,184,0,0,20,0,0,54,23,59,66,7.26,28,1351.72,False,False,True,False,False,False,True,0
160,24,170,47,50,38,39,47,0,0,0,0,6.74,27,1351.72,False,False,False,True,False,False,True,2
215,28,186,36,51,59,66,40,0,0,0,0,7.22,25,1351.72,True,False,False,False,False,False,True,3
145,24,188,64,65,44,25,46,0,0,0,0,7.04,28,1351.72,False,True,False,False,True,False,False,1
105,19,185,48,57,35,41,46,0,0,0,0,6.71,28,1351.72,False,False,False,True,False,False,True,2
210,28,180,46,52,42,44,48,0,0,0,0,6.84,26,1351.72,False,False,False,True,False,False,True,2
190,33,183,41,54,36,46,45,0,0,0,0,6.8,28,1351.72,True,False,False,False,False,True,False,5
115,25,180,43,57,46,56,44,0,0,0,0,7.02,18,1351.72,True,False,False,False,False,False,True,3
97,20,185,54,65,28,25,45,0,0,0,0,6.57,25,1351.72,False,False,False,True,False,False,True,2
185,33,182,36,47,49,59,38,0,0,0,0,6.83,25,1351.72,True,False,False,False,False,False,True,3
220,36,187,64,63,53,29,37,0,0,0,0,7.03,27,1351.72,False,True,False,False,False,False,True,4
185,26,175,52,67,24,28,51,0,0,0,0,6.73,25,1351.72,False,False,False,True,False,False,True,2
110,22,180,49,67,28,33,49,0,0,0,0,6.71,25,1351.72,False,False,False,True,False,False,True,2
190,26,187,45,57,42,39,43,0,0,0,0,6.78,25,1351.72,False,False,False,True,False,False,True,2
185,30,176,40,61,43,54,46,0,0,0,0,6.88,25,1351.72,True,False,False,False,False,False,True,3
