club,player_link
Platense,/player/saborido-juan-ignacio/1104325
Platense,/player/bautista-barros-schelotto/1085929
Platense,/player/juan-pablo-pignani/1176234
Platense,/player/raul-lozano/884971
Platense,/player/gonzalo-valdivia/1185820
Platense,/player/joaquin-blazquez/940690
Platense,/player/juan-cozzani/874969
Platense,/player/quiroga-agustin/1484795
Platense,/player/nicolas-sumavil/1087017
River Plate,/player/miguel-borja/329601
River Plate,/player/agustin-ruberto/1482434
River Plate,/player/ian-subiabre/1482381
River Plate,/player/facundo-colidio/927308
River Plate,/player/ian-subiabre/1652982
River Plate,/player/echeverri-claudio/1482424
River Plate,/player/pablo-solari/1018450
River Plate,/player/esequiel-barco/848473
River Plate,/player/manuel-lanzini/220315
River Plate,/player/franco-mastantuono/1403559
River Plate,/player/nacho-fernandez/340861
River Plate,/player/gonzalo-martinez/789871
River Plate,/player/agustin-palavecino/941541
River Plate,/player/rodrigo-villagra/978563
River Plate,/player/matias-kranevitter/295159
River Plate,/player/nicolas-fonseca/944629
River Plate,/player/rodrigo-aliendro/830748
River Plate,/player/tobias-leiva/1607058
River Plate,/player/jonas-luna/1651673
River Plate,/player/paulo-diaz/790004
River Plate,/player/sebastian-boselli/1392092
River Plate,/player/santiago-simon/1091058
River Plate,/player/ramiro-funes-mori/252313
River Plate,/player/david-martinez/909479
River Plate,/player/milton-casco/122710
River Plate,/player/leandro-gonzalez-pirez/158259
River Plate,/player/enzo-diaz/932937
River Plate,/player/marcelo-herrera/954700
River Plate,/player/agustin-santanna/869726
River Plate,/player/daniel-zabala/1482286
River Plate,/player/franco-armani/221140
River Plate,/player/ezequiel-centurion/876134
River Plate,/player/lavagnino-lucas/1485238
Rosario Central,/player/luca-martinez-dupuy/1087100
Rosario Central,/player/abel-hernandez/48547
Rosario Central,/player/tobias-cervera/1086929
Rosario Central,/player/oviedo-fabricio/1382064
Rosario Central,/player/modica-agustin/1542680
Rosario Central,/player/juan-cruz-cerrudo/1117056
Rosario Central,/player/jaminton-campaz/877299
Rosario Central,/player/maximiliano-lovera/839582
Rosario Central,/player/franco-ibarra/989796
Rosario Central,/player/ignacio-malcorra/789427
Rosario Central,/player/lautaro-giaccone/1087087
Rosario Central,/player/tomas-oconnor/1117117
Rosario Central,/player/jonatan-gomez/986257
Rosario Central,/player/kevin-ortiz/1180814
Rosario Central,/player/francis-mac-allister/1089454
Rosario Central,/player/francesco-lo-celso/989850
Rosario Central,/player/mauricio-martinez/789402
Rosario Central,/player/dannovi-quinonez/1099610
Rosario Central,/player/giovanni-bogado/885536
Rosario Central,/player/ocampo-elias/1639945
Rosario Central,/player/quinones-dannovi/1652984
Rosario Central,/player/gaspar-duarte/1836623
Rosario Central,/player/felipe-carnicero/1836620
Rosario Central,/player/giovanni-cantizano/1836624
Rosario Central,/player/giovanni-cantizano/1836625
Rosario Central,/player/ignacio-moreno/1836627
Rosario Central,/player/pedro-garcia/1836634
Rosario Central,/player/agustin-sandez/1066556
Rosario Central,/player/alan-rodriguez/990289
Rosario Central,/player/juan-komar/376734
Rosario Central,/player/facundo-mallo/877400
Rosario Central,/player/emanuel-coronel/895593
Rosario Central,/player/carlos-quintana/33202
Rosario Central,/player/damian-martinez/38106
Rosario Central,/player/santiago-burgos/1639946
Rosario Central,/player/agustin-bravo/1096232
Rosario Central,/player/bravo-agustin-antonio/1127422
Rosario Central,/player/axel-werner/250219
Rosario Central,/player/jorge-broun/789406
Rosario Central,/player/valentino-quintero/1117120
Rosario Central,/player/damian-fernandez/1836619
San Lorenzo,/player/adam-bareiro/871580
San Lorenzo,/player/nahuel-barrios/875236
San Lorenzo,/player/diego-herazo/819165
San Lorenzo,/player/cristian-tarragona/830717
San Lorenzo,/player/ezequiel-cerutti/340785
San Lorenzo,/player/medina-tobias/1485103
San Lorenzo,/player/alexis-cuello/965768
San Lorenzo,/player/matias-hernandez/1381787
San Lorenzo,/player/agustin-giay/1106603
San Lorenzo,/player/carlos-sanchez/26995
San Lorenzo,/player/cristian-ferreira/909608
San Lorenzo,/player/ivan-leguizamon/1161823
San Lorenzo,/player/malcom-braida/994453
San Lorenzo,/player/sebastian-blanco/33239
San Lorenzo,/player/ivan-tapia/992084
San Lorenzo,/player/eric-remedi/796096
San Lorenzo,/player/manuel-insaurralde/960297
San Lorenzo,/player/francisco-perruzzi/1116658
San Lorenzo,/player/tomas-porra/1106548
San Lorenzo,/player/irala-elian/1385755
San Lorenzo,/player/thiago-perugini/1801827
San Lorenzo,/player/emanuel-kovacs/1836865
San Lorenzo,/player/santiago-sosa/1836866
San Lorenzo,/player/gustavo-romero/1836880
San Lorenzo,/player/nicolas-hernandez/887155
San Lorenzo,/player/jhohan-romana/839734
San Lorenzo,/player/gonzalo-lujan/1106584
San Lorenzo,/player/gaston-hernandez/980886
San Lorenzo,/player/gaston-campi/351824
San Lorenzo,/player/jeremias-james/1173077
San Lorenzo,/player/elias-baez/1485370
San Lorenzo,/player/arias-oscar/1485102
San Lorenzo,/player/alejo-cordoba/1836864
San Lorenzo,/player/daniel-herrera/1835531
San Lorenzo,/player/ferreira-martins-cristian/1836101
San Lorenzo,/player/lautaro-montenegro/1836879
San Lorenzo,/player/facundo-altamirano/794812
San Lorenzo,/player/gaston-gomez/830775
San Lorenzo,/player/lautaro-lopez/989677
San Lorenzo,/player/gill-orlando/991855
Sarmiento,/player/ivan-morales/848075
Sarmiento,/player/lisandro-lopez/13207
Sarmiento,/player/facundo-ferreyra/129724
Sarmiento,/player/agustin-fontana/759418
Sarmiento,/player/cristian-ojeda/909108
Sarmiento,/player/azcurra-diego/1466523
Sarmiento,/player/jose-mauri/284359
Sarmiento,/player/alfredo-amarilla/1173417
Sarmiento,/player/quiroz-maico/1067810
Sarmiento,/player/manuel-monaco/1179175
Sarmiento,/player/diego-calcaterra/1086957
Sarmiento,/player/fernando-godoy/122614
Sarmiento,/player/paradela-federico/1119881
Sarmiento,/player/molina-agustin/1466520
Sarmiento,/player/sergio-quiroga/885010
Sarmiento,/player/joaquin-gho/1094993
Sarmiento,/player/yair-arismendi/896798
Sarmiento,/player/luis-garnier/789407
Sarmiento,/player/vallejos-jeremias/1650248
Sarmiento,/player/david-gallardo/943167
Sarmiento,/player/gabriel-diaz/1199053
Sarmiento,/player/franco-paredes/989717
Sarmiento,/player/elias-lopez/988953
Sarmiento,/player/nahuel-gallardo/909478
Sarmiento,/player/juan-manuel-insaurralde/93196
Sarmiento,/player/juan-cruz-guasone/1087028
Sarmiento,/player/emanuel-hernandez/975816
Sarmiento,/player/juan-guasone/1523104
Sarmiento,/player/martin-garcia/974709
Sarmiento,/player/jeronimo-pourtau/873185
Sarmiento,/player/fernando-monetti/122718
Talleres,/player/nahuel-bustos/859961
Talleres,/player/bruno-barticciotto/1014804
Talleres,/player/gustavo-bou/43686
Talleres,/player/federico-girotti/966164
Talleres,/player/ramiro-ruiz-rodriguez/935094
Talleres,/player/david-romero/1111805
Talleres,/player/ovando-lautaro-nahuel/1130170
Talleres,/player/pozzo-francisco-jose/1523685
Talleres,/player/ignacio-pedano/1837209
Talleres,/player/ramon-sosa/1015733
Talleres,/player/matias-galarza/1105836
Talleres,/player/portilla-camilo/980580
Talleres,/player/ruben-botta/249829
Talleres,/player/depietri-valentin/1092322
Talleres,/player/javier-vallejo/1199242
Talleres,/player/silvio-martinez/1110829
Talleres,/player/luis-sequeira/980759
Talleres,/player/marcos-portillo/1167858
Talleres,/player/ulises-ortegoza/1169586
Talleres,/player/jeremias-gallard/1837210
Talleres,/player/kevin-martinez/1837211
Talleres,/player/valentin-culasso/1837213
Talleres,/player/kevin-mantilla/1117066
Talleres,/player/miguel-navarro/946472
Talleres,/player/matias-catalan/249643
Talleres,/player/alex-vigo/941093
Talleres,/player/blas-riveros/805202
Talleres,/player/juan-portillo/1087037
Talleres,/player/gaston-benavidez/981452
Talleres,/player/juan-gabriel-rodriguez/155714
Talleres,/player/lucas-suarez/579312
Talleres,/player/lautaro-morales/989206
Talleres,/player/guido-herrera/248977
Talleres,/player/santino-barbi/1837212
Tigre,/player/blas-armoa/883217
Tigre,/player/flabian-londono/1116627
Tigre,/player/nicolas-contin/603758
Tigre,/player/gonzalo-flores/974690
Tigre,/player/gonzalo-maroni/840510
Tigre,/player/brahian-aleman/122912
Tigre,/player/tomas-galvan/1065613
Tigre,/player/juan-cruz-esquivel/981347
Tigre,/player/agustin-cardozo/851824
Tigre,/player/ezequiel-forclaz/1179213
Tigre,/player/walter-rodriguez/805404
Tigre,/player/sebastian-medina/986736
Tigre,/player/protti-ijiel-cesar/796999
Tigre,/player/caceres-mateo-valentin/1186063
Tigre,/player/gonzalez-santiago/1485735
Tigre,/player/kevin-lomonaco/1003014
Tigre,/player/nahuel-genez/1131032
Tigre,/player/tomas-lecanda/1003027
Tigre,/player/juan-sanchez-mino/106293
Tigre,/player/gian-nardelli/1084966
Tigre,/player/martin-garay/992080
Tigre,/player/adorno-pablo/885566
Tigre,/player/martin-ortega/1020498
Tigre,/player/augusto-aguirre/875564
Tigre,/player/facundo-giacopuzzi/1016645
Tigre,/player/matias-tagliamonte/871837
Tigre,/player/felipe-zenobio/992071
Godoy Cruz,/player/salomon-rodriguez/1020191
Godoy Cruz,/player/tomas-badaloni/927212
Godoy Cruz,/player/juan-bautista-cejas/868364
Godoy Cruz,/player/luciano-cingolani/1087070
Godoy Cruz,/player/barrea-daniel/1183778
Godoy Cruz,/player/martin-pino/994452
Godoy Cruz,/player/julian-eseiza/1113237
Godoy Cruz,/player/ulariaga-nahuel/1096230
Godoy Cruz,/player/hernan-lopez-munoz/981007
Godoy Cruz,/player/tomas-conechny/822607
Godoy Cruz,/player/poggi-vicente/1020066
Godoy Cruz,/player/nicolas-fernandez/846419
Godoy Cruz,/player/tomas-pozzo/1086963
Godoy Cruz,/player/valentin-burgoa/922466
Godoy Cruz,/player/marcos-montiel/975819
Godoy Cruz,/player/leyes-bruno/1130268
Godoy Cruz,/player/juan-andrada/848616
Godoy Cruz,/player/mariano-santiago/1391295
Godoy Cruz,/player/thomas-galdames/852142
Godoy Cruz,/player/martin-luciano/1114869
Godoy Cruz,/player/elias-pereyra/922450
Godoy Cruz,/player/federico-rasmussen/932903
Godoy Cruz,/player/lucas-arce/1109302
Godoy Cruz,/player/pier-barrios/140103
Godoy Cruz,/player/braian-salvareschi/871794
Godoy Cruz,/player/facundo-butti/992067
Godoy Cruz,/player/butti-facundo-martin/1152435
Godoy Cruz,/player/franco-petroli/822590
Godoy Cruz,/player/roberto-ramirez/551382
Defensa y Justicia,/player/nicolas-fernandez/581804
Defensa y Justicia,/player/santiago-godoy/1065972
Defensa y Justicia,/player/nicolas-blandi/128211
Defensa y Justicia,/player/yorman-zapata/994724
Defensa y Justicia,/player/aaron-molinas/1022257
Defensa y Justicia,/player/gaston-togni/868361
Defensa y Justicia,/player/palavecino-nicolas/1131305
Defensa y Justicia,/player/rodrigo-bogarin/790065
Defensa y Justicia,/player/kevin-gutierrez/914145
Defensa y Justicia,/player/julian-lopez/922455
Defensa y Justicia,/player/lopez-kevin/1163996
Defensa y Justicia,/player/david-barbona/789910
Defensa y Justicia,/player/serrago-tiago/1655111
Defensa y Justicia,/player/matias-sosa/1094185
Defensa y Justicia,/player/luciano-herrera/1114494
Defensa y Justicia,/player/franco-romero/1086987
Defensa y Justicia,/player/gabriel-alanis/609736
Defensa y Justicia,/player/facundo-echevarria/1094181
Defensa y Justicia,/player/elian-sosa/1537853
Defensa y Justicia,/player/ezequiel-cannavo/1094180
Defensa y Justicia,/player/schamine-benjamin/1485083
Defensa y Justicia,/player/sosa-vivaldi-fabio-elian/1651660
Defensa y Justicia,/player/ramos-mingo-santiago/989843
Defensa y Justicia,/player/ulises-gimenez/1482388
Defensa y Justicia,/player/nicolas-tripichio/358924
Defensa y Justicia,/player/esteban-burgos/594426
Defensa y Justicia,/player/alexis-soto/824513
Defensa y Justicia,/player/emanuel-aguilera/147576
Defensa y Justicia,/player/dario-caceres/922462
Defensa y Justicia,/player/marco-francisco/1385659
Defensa y Justicia,/player/gimenez-ulises-adrian/1798026
Defensa y Justicia,/player/calderon-elias/1469367
Defensa y Justicia,/player/enrique-bologna/107418
Defensa y Justicia,/player/cristopher-fiermarin/881111
Defensa y Justicia,/player/ramiro-garcia/1468120
Defensa y Justicia,/player/ramiro-garcia/1134656
Deportivo Riestra,/player/jonathan-herrera/873763
Deportivo Riestra,/player/nicolas-benegas/838770
Deportivo Riestra,/player/samuel-portillo/1108946
Deportivo Riestra,/player/maximiliano-brito/895201
Deportivo Riestra,/player/gustavo-martin-fernandez/47451
Deportivo Riestra,/player/mauro-ortiz/895334
Deportivo Riestra,/player/gonzalez-herrero-ramon/1474733
Deportivo Riestra,/player/machado-william/1126011
Deportivo Riestra,/player/milton-celiz/275789
Deportivo Riestra,/player/guillermo-pereira/971214
